POCP	GCF_900115755.1.faa	GCF_900107765.1.faa	GCF_019797745.1.faa	GCF_019130065.1.faa	GCF_014642875.1.faa	GCF_013106755.1.faa	GCF_009740285.1.faa	GCF_009650435.1.faa	GCF_009192765.1.faa	GCF_008710285.1.faa	GCF_007971225.1.faa	GCF_007970185.1.faa	GCF_007830055.1.faa	GCF_005233845.1.faa	GCF_004366355.1.faa	GCF_003991195.1.faa	GCF_003721595.1.faa	GCF_003555545.1.faa	GCF_003412455.1.faa	GCF_003332885.2.faa	GCF_002954265.1.faa	GCF_002797735.1.faa	GCF_002355595.1.faa	GCF_001953305.1.faa	GCF_001623405.1.faa	GCF_000974785.1.faa	GCF_000511175.1.faa	GCF_000425585.1.faa	GCF_000374125.1.faa	GCF_000374045.1.faa	GCF_000246855.1.faa	GCF_000024005.1.faa
GCF_007971225.1.faa	54.46014572753367	38.568955568378534	32.13036963036963	44.71215562358053	44.473438956197576	61.20596498811325	43.897792222346744	52.36903106165971	48.64609571788413	51.27149941964757	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_007970185.1.faa	40.27248475609756	34.57388894387805	28.562354435739994	47.211413748378725	43.918474687705455	37.878787878787875	38.442235305472444	41.25010226621942	42.73208097756703	39.38616582684379	40.348015225666124	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_007830055.1.faa	45.33739456419868	38.990544025543414	32.94149078279455	45.32014575741801	41.71238244514107	46.94228126431516	51.95810022616355	42.42424242424242	45.50299800133244	47.21384701284199	47.95018734846815	41.92351598173516	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_005233845.1.faa	55.507040716079025	42.221715328467155	29.909998767106398	44.54545454545455	43.10901873903813	48.45570161376509	40.870817637934856	48.613152094048495	48.073927941023776	47.620041753653446	53.356016084132385	37.89171231031696	43.08597580908794	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004366355.1.faa	43.5545463928166	39.3395008605852	29.79511517536752	46.10522401933445	54.69588944635155	39.615579160343955	37.753820389365714	41.24912403644008	42.10060045280047	42.59002770083102	43.17004008995796	42.84612087441063	41.21586810922205	42.071636011616654	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003991195.1.faa	41.28211524070841	37.48196721311475	35.46211251435132	42.247166281501045	38.26625386996904	39.60311663014366	42.29354306736014	37.680861980502826	42.342130065975496	38.366718027734976	40.17064048620851	46.307784670802484	42.84291760019915	38.33006120799168	36.878197452922606	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003721595.1.faa	50.753118380795485	40.789636027143736	30.706229860365198	43.24239573534023	41.406096361848576	42.45456636760985	40.59548009087648	41.82885085574572	50.73595004460303	59.06695076819558	45.971668880035416	37.62650372350582	43.81019497298567	49.8960498960499	40.90203786076342	38.819409704852426	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003555545.1.faa	43.15169366715759	36.8255180976029	28.31669044222539	49.275119416743486	48.970963624760685	40.849909584086795	39.81731755056389	45.516638869033436	45.90612316922534	42.373482229903395	44.54481669882477	58.93302180685358	45.661764705882355	42.34680573663624	44.76024266600183	45.05886894421926	40.77660948164545	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003412455.1.faa	49.22756656075381	41.183879093198996	31.70731707317073	48.165947430364845	46.53208630428743	45.81143408774	41.3923487544484	48.81149806522941	44.51391059706158	42.248062015503876	47.75995861355406	43.03341439250653	41.6493492289183	46.764946764946764	47.5912975912976	40.857971014492755	41.58154859967051	46.299363612588266	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003332885.2.faa	45.562898277082844	37.58198242791734	31.58674568965517	44.41999371266897	40.44943820224719	44.2560553633218	45.67693968101691	42.72130183315361	44.879248658318424	43.91094118969976	45.372836218375504	41.26315789473684	48.93992932862191	46.82391662095447	38.660167997511145	42.3607626693427	44.46284902981542	44.42595673876872	43.61854421319238	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_002954265.1.faa	29.52243125904486	26.16996507566938	36.379679818479765	29.566255471547954	27.583294228061945	30.34099575117115	29.204339963833636	27.983193277310924	29.1970802919708	29.195915762603704	31.13118369919126	27.283511269276396	30.081120124458273	28.35619285120532	28.969661150512216	28.91168494281335	28.512442807722355	28.171625320031783	30.427528675703858	29.94293387042632	100	~	~	~	~	~	~	~	~	~	~	~
GCF_002797735.1.faa	42.41695475725237	39.329073482428115	34.35659468142067	37.723387723387724	37.393393393393396	39.99123959702146	41.33169683952133	35.32219570405728	40.600870419766956	41.544117647058826	39.84146850229454	33.688724069996525	40.17094017094017	40.060323553605706	39.29941191511123	40.04226954966672	43.477605187754484	34.42258530621318	39.58677685950413	39.76085969426366	29.51096121416526	100	~	~	~	~	~	~	~	~	~	~
GCF_002355595.1.faa	41.684974687171646	39.48987693529178	30.236755494213824	45.3198127925117	42.657112264228644	39.24988279418659	38.08786529901297	43.48966874385044	37.75482219581315	36.39786921381337	40.5650949395839	43.350743270389714	40.2002861230329	40.85508550855085	44.14847912012373	38.065616534564064	36.948406241026134	45.38359478654492	52.39256049115204	38.58773865489783	28.668130259787777	33.131829807021624	100	~	~	~	~	~	~	~	~	~
GCF_001953305.1.faa	44.13358398761473	35.884393063583815	30.226448142124358	42.84018987341772	40.08399440037331	43.35967096006061	43.54512797485406	42.58124419684308	42.23693892568065	42.306066370746144	44.46299968688028	39.25038569743171	46.594546859476765	45.71458075175548	38.31766549157854	40.1006907856223	41.95765436204412	43.242293843857034	42.92227979274612	66.7889296432144	28.95013675573322	38.308249721293194	39.46506550218341	100	~	~	~	~	~	~	~	~
GCF_001623405.1.faa	47.752655952056664	42.337026910346815	35.26700572155118	42.896207347521106	43.3547814510761	50.941894401698065	48.7859025946996	43.43367515712868	43.71479774705581	47.197526091998455	51.357868020304565	38.40952994204765	50.24463169339495	45.847425779782036	42.30995182704735	43.771929824561404	44.221311475409834	39.70679330993186	47.22606617184552	46.92982456140351	31.27482383087764	49.89954337899543	40.587665482725214	45.009535918626824	100	~	~	~	~	~	~	~
GCF_000974785.1.faa	46.34386271723685	37.7341251713111	32.54722805284603	52.30964963789392	45.356251732741896	44.02354200107009	42.744619480807636	46.23942625965429	47.62449319056035	44.59657190635451	47.16630535769588	46.51685393258427	46.1102018548827	44.4126659856997	43.73909672417135	43.80710072857639	42.88375150651912	49.96954668058818	46.66871668716687	47.52279468307152	29.327923429047026	38.86294973908267	41.340782122905026	45.57485525227461	44.160080291055074	100	~	~	~	~	~	~
GCF_000511175.1.faa	42.414128772076204	37.363930567814066	34.50578081745644	38.24455205811138	36.62416788897664	46.69013131176391	49.92913832199547	39.414666965687374	40.60827568202585	39.776609724047304	44.52063656359167	36.031417039380386	48.050506452060496	39.8876404494382	36.2200956937799	43.19031245328151	39.28023434230716	36.85369690613529	42.254424211336236	44.64660601819454	30.938071596550827	42.37415477084899	36.95842450765864	41.87192118226601	56.57741559953434	41.47058823529412	100	~	~	~	~	~
GCF_000425585.1.faa	44.02226524685383	38.36869521026553	35.58358746881065	45.77306332369013	40.18719806763285	41.50118203309693	45.47914872678066	41.99779801821639	45.66063659262652	42.036162616607164	44.171779141104295	44.7265625	47.92270531400966	40.168444693992136	40.62334358104527	45.9031177531564	41.98010191701043	45.93702865761689	43.69293202570172	46.66585543927963	30.812421221496507	40.20634672502736	41.25134632331343	44.554455445544555	44.594976009031896	45.49645788822669	43.28767123287671	100	~	~	~	~
GCF_000374125.1.faa	43.88512775715221	40.96976611523103	31.27775037000493	42.99403539649946	36.92520775623269	35.82424631173829	37.836639698548154	37.51952227836472	45.294972995429994	39.782812989453895	39.150165016501646	37.9468295311658	41.47591018094615	40.422492091029696	37.34869758884478	38.07763401109057	41.41856392294221	40.16692749087115	39.03737839221711	39.980245829675155	25.724976613657624	35.33123028391167	35.97731160529396	38.12622662948043	37.468671679197996	40.64575457239195	34.81926171924894	45.77623006066053	100	~	~	~
GCF_000374045.1.faa	49.14461800021252	37.63583943224662	29.60172228202368	43.148854961832065	43.2464134259677	46.84084521702925	39.650711513583445	47.08206141138445	47.95061228620585	49.989827060020346	52.00522665594532	37.340827259155176	44.383154768218944	53.54158376442499	39.896030245746694	37.10854192389718	49.28107359676217	42.075712462781794	46.087043322020364	48.638547784303256	29.228276281142396	38.63997879109226	39.11971830985915	47.87598147775317	46.88448925057694	44.223107569721115	40.843850532046524	39.84707809939923	38.770026868345106	100	~	~
GCF_000246855.1.faa	41.765366992305694	35.502058349740466	26.52847770276695	48.70212092434315	50.41166251227433	38.95264813397943	38.033589923023094	43.681360012035505	43.58228794550137	43.19205740030035	43.33746385790995	48.82226980728051	43.1667098333765	41.08781127129751	45.815012562814076	38.49977406235879	40.684278908618445	56.458917403493636	45.39181862986693	41.01206492491971	27.630922693266836	32.93814432989691	45.989937851435336	40.851943755169565	38.742901145442296	46.51525090193506	33.96171127173276	41.959154805057025	38.156493240475214	42.920211912024406	100	~
GCF_000024005.1.faa	38.248768260005185	34.44881889763779	29.099724308394332	41.58094635227093	40.57850615512423	33.990650233744155	32.25467902746196	40.06468110709988	37.63601628042196	34.82649315982649	36.119600231271164	42.31081579918789	34.94173500215796	37.27272727272727	41.75694771549694	34.76100117466341	35.10868623884992	44.60576439301373	44.415243101182654	36.44884144753971	26.89494680851064	33.32302618016904	46.678502737091286	37.33046642408204	33.88509286882879	41.28545663223479	30.527343750000004	37.75302749049766	35.52060293274351	37.51203852327448	45.49808429118774	100
