POCP	GCF_900188415.1.faa	GCF_900142975.1.faa	GCF_900141855.1.faa	GCF_900141715.1.faa	GCF_900130035.1.faa	GCF_900129005.1.faa	GCF_900119795.1.faa	GCF_900119185.1.faa	GCF_900116665.1.faa	GCF_900116365.1.faa	GCF_900114265.1.faa	GCF_900112395.1.faa	GCF_900107625.1.faa	GCF_900103215.1.faa	GCF_900102915.1.faa	GCF_900102055.1.faa	GCF_900101815.1.faa	GCF_900099995.1.faa	GCF_023721415.1.faa	GCF_022807975.1.faa	GCF_022662195.1.faa	GCF_021728415.1.faa	GCF_019312585.1.faa	GCF_017814435.1.faa	GCF_016827595.1.faa	GCF_015767265.1.faa	GCF_015476115.1.faa	GCF_014855495.1.faa	GCF_014646675.1.faa	GCF_014646655.1.faa	GCF_014641635.1.faa	GCF_014640155.1.faa	GCF_014596935.1.faa	GCF_014295415.1.faa	GCF_013402795.1.faa	GCF_011927795.1.faa	GCF_010671605.1.faa	GCF_010671595.1.faa	GCF_010671565.1.faa	GCF_009901585.1.faa	GCF_009371985.2.faa	GCF_009193215.1.faa	GCF_009014635.1.faa	GCF_008367235.1.faa	GCF_007997155.1.faa	GCF_006974145.1.faa	GCF_006494535.1.faa	GCF_005943945.1.faa	GCF_005047595.1.faa	GCF_004799345.1.faa	GCF_004362865.1.faa	GCF_003813905.1.faa	GCF_003626755.1.faa	GCF_003610635.1.faa	GCF_003413745.1.faa	GCF_003386195.1.faa	GCF_003353425.1.faa	GCF_003337215.1.faa	GCF_003253545.1.faa	GCF_003008425.1.faa	GCF_002973595.1.faa	GCF_002966125.1.faa	GCF_002954355.1.faa	GCF_002954325.1.faa	GCF_002943755.1.faa	GCF_002943715.1.faa	GCF_002895005.1.faa	GCF_002806995.1.faa	GCF_002072105.2.faa	GCF_001761325.1.faa	GCF_001678675.1.faa	GCF_001653755.1.faa	GCF_001637325.1.faa	GCF_001439665.1.faa	GCF_000973105.1.faa	GCF_000941055.1.faa	GCF_000757385.1.faa	GCF_000746845.1.faa	GCF_000733475.1.faa	GCF_000518485.1.faa	GCF_000430665.1.faa	GCF_000425645.1.faa	GCF_000425305.1.faa	GCF_000424985.1.faa	GCF_000423065.1.faa	GCF_000422365.1.faa	GCF_000382125.1.faa	GCF_000348685.1.faa	GCF_000260835.1.faa	GCF_000260115.1.faa	GCF_000243235.1.faa	GCF_000224085.1.faa	GCF_000220525.1.faa	GCF_000196315.1.faa	GCF_000190595.1.faa	GCF_000154725.1.faa	GCF_000153485.2.faa	GCF_000024125.1.faa	GCF_000023465.1.faa	GCF_000023285.1.faa
GCF_900114265.1.faa	54.38144329896907	52.94852227001526	49.423247559893525	67.50565184626977	48.85021752641392	53.706329766662364	45.377526753864444	48.307111390811826	51.58805243951885	53.216374269005854	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900112395.1.faa	52.77304313622656	49.678370410077726	52.124263261296655	62.975326560232226	48.07950978926917	51.07338991512731	45.53916654732923	45.73170731707317	48.118630781290825	51.169832094687585	60.92619392185239	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900107625.1.faa	49.916222391469915	52.76562500000001	46.34284100536571	59.83184625943721	46.15384615384615	49.884892086330936	49.33288295895964	44.83048472961614	49.529733009708735	52.43391360412637	56.96589692613549	56.04945540182514	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900103215.1.faa	60.19729295710026	45.63311118905647	68.06713589604765	48.364866558075434	38.961706502184526	46.41327035043392	36.177854842704974	43.90270153912388	42.3327615780446	48.5102309441187	47.99815922687529	49.43556499385269	43.44958782498415	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900102915.1.faa	48.86295631358468	66.46724957815616	44.81322038605749	54.44762064906675	43.31941544885177	51.91681991795162	44.03973509933775	45.597354278627535	49.217702279839074	52.64905899098529	51.50195253829979	47.07073629393895	53.922406426251925	42.19140429785108	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900102055.1.faa	51.00932757900599	51.08292960957538	48.701298701298704	55.21253490536767	43.12469985593085	49.37896405919662	45.603303257378805	44.15936049510057	47.36477115117892	50.48372911169745	51.99105770574263	52.40151106314085	56.28346456692913	46.40715041749971	52.04823002009584	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900101815.1.faa	60.210553018772195	52.50680139914496	64.17093203190096	49.195466629354975	40.702360391479566	49.55859233280929	38.97790055248619	47.03795672224193	45.64530400707875	49.887013159643764	49.88546703995927	47.33144336250462	47.35498510849525	63.189917427205565	47.37796373779638	46.19898291824228	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900099995.1.faa	52.32315322370138	51.43390689609178	49.51705587480132	60.44765342960289	44.55842997323818	48.987200198831864	43.73040752351097	43.20582877959927	50.04551957341656	50.15751266949733	59.61236249345207	57.609935369408184	59.36447503294773	46.60431975061234	51.19458837075418	55.65999731435477	48.699067255768284	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_023721415.1.faa	55.85926141320151	55.89155370177268	52.17038539553752	55.51213157466211	47.55974419387412	54.39900867410161	45.78119987167148	50.83881358206952	53.28023171614772	60.61071044959338	53.604786923525985	51.11861544955677	53.05210918114144	49.1461332032203	54.44516547696301	49.572264745610084	52.797392721347094	50.0	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_022807975.1.faa	52.94833648904517	51.321067920874256	49.87991404373657	53.08697611536728	45.75720037163208	51.40763594292326	43.24444444444445	50.68407179615916	51.327314378116164	54.68505616379923	53.88165038002172	49.57365866456775	48.25483920134126	46.61464310305256	48.32335329341318	48.54436551051678	47.703045685279186	49.320971533037344	55.68810008728542	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_022662195.1.faa	50.531547701228774	50.94659508335688	49.17525773195876	64.98616661543191	46.075788806088475	48.64971158888306	45.77966358539173	46.430399181166834	47.24896836313617	57.454228421970356	60.05265345711515	56.771948608137045	53.120124804992194	47.740277939974305	50.26803492112115	48.81900967558338	47.35412084357614	53.589982682829366	52.863305072140406	51.20873048763641	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_021728415.1.faa	54.76658105453996	53.43972730089867	50.44843049327354	79.41176470588235	48.95301777230336	51.12792689891491	48.88702928870293	45.99555061179088	50.31597953656335	55.161393416426975	69.11876232367663	60.9375	58.91807811959902	47.03363143972793	54.22523285351397	54.871955028107436	49.09218859957776	60.04649135551359	56.53385800950975	53.06122448979592	65.0990099009901	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019312585.1.faa	50.54619225967541	51.75396444017299	46.52707581227437	59.98941985540469	43.731725146198826	49.18298248196673	45.43719639139486	43.79028792436614	47.67676767676768	53.03456259302133	54.559699153870255	48.90763899352117	56.412556053811656	43.56884057971014	54.07446434843695	64.97658646859358	45.32927183057731	53.05755395683454	52.12296195652174	49.40662086196127	52.11898288821366	61.16539349795701	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_017814435.1.faa	50.51449953227315	50.19130910084723	50.14999999999999	63.77112362881707	48.34275240568199	49.61870869344179	43.48588974996345	45.39473684210527	48.508655126498	50.85650098286998	61.21764784765992	63.30394190871369	54.22556390977443	48.25627626945359	48.78120845028808	51.19702806824436	46.99460409085205	56.38311604492061	51.40025850926325	49.21780986762936	57.40993449781659	63.186157517899765	50.91637147697521	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016827595.1.faa	48.90093786635404	54.27241327526655	44.39449666258003	54.4274683752259	41.083559782608695	52.86447496185323	43.6084142394822	44.72083277004191	48.649832141293246	51.291969673526225	52.36834363047955	47.41244860343116	56.017359372391915	42.23968565815324	57.33224222585924	62.7175064306249	47.59233926128591	53.20259593679458	52.45875634517766	47.12609970674487	48.568001199580145	54.92142266335814	65.66678093932123	48.57432334635982	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_015767265.1.faa	39.055973266499585	40.15961236995867	36.71905442265229	44.3599689681924	41.45052833813641	37.88819875776397	46.160905475680636	36.183107672469376	39.63101678457483	42.53042075941944	41.47568474007826	40.29145864255836	44.495196093873055	34.003763820277584	42.22325293753865	42.859193340031574	35.224308815858116	41.04217029277464	41.42900030021014	39.63499582056283	40.899388074569515	44.16679681399344	44.07299741602067	40.15412137057933	41.1773607748184	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_015476115.1.faa	52.5348805083575	53.548204693242866	48.25941206807633	59.28944940018456	45.31175630652071	51.74449108079748	42.03184230477635	45.276497695852534	48.34847233691164	53.16952602500727	57.52114238181062	50.44188537761114	53.559163284420855	45.56607080266386	51.73946360153256	49.430523917995444	47.650485436893206	55.177928828468616	51.83807114153892	51.16793365583967	56.25352907961604	60.216718266253864	54.69675148023684	51.706717640633535	51.40285071267817	38.97194930941193	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014855495.1.faa	67.3320994182972	52.35842681443438	72.30540774656602	53.53742493042331	44.538322269161135	53.528745754182914	41.7485549132948	49.748064397197986	49.45329996047951	53.40830209634875	53.6879808967896	51.23829077377133	49.97771504976972	64.71184151283205	48.33576642335766	48.33310654510818	66.99378881987577	50.4982115482882	55.848949460533795	51.746031746031754	50.992036712106895	53.087693441414885	48.25068451475509	49.86272715387632	50.2002861230329	38.54109961894393	50.14179608372721	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014646675.1.faa	47.54578754578754	50.12012012012011	44.98774175973849	55.732588699080154	50.77262693156733	47.10124826629681	49.037372593431485	43.052176263855095	47.329246935201404	54.59467821782178	52.228268863068095	50.26935072299404	51.568758344459276	42.75015346838551	51.039109801996396	49.031770045385784	44.61769935713309	51.685710255325155	50.261697065820776	49.157015100425156	53.44827586206896	54.068805822031095	49.922879177377894	49.91316931982634	47.912334026555754	46.86034195793615	50.43504350435043	45.74452867973108	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014646655.1.faa	49.51950254381006	52.698596440457244	47.477940208086395	65.02602934216753	48.32247557003257	51.64187106286021	45.164800995024876	46.68584128644267	51.86540898212023	55.0409530900968	64.66666666666666	56.563997262149215	56.59138234823001	45.30728918532635	53.53662370323797	51.62512753242967	49.801639777836556	57.26158038147139	53.05064063453325	51.52714932126696	61.39286230313539	65.74559313959028	54.387117975681896	60.899315738025415	53.445093817286995	41.60349854227405	57.17796732687581	50.27616680475007	56.097185914193446	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014641635.1.faa	51.129986349158195	50.94897324206597	46.51195499296765	65.50546448087432	44.6172883153615	48.71023215821152	47.907211296016136	45.17164387384873	49.41087613293051	54.2201540436457	59.6771737475255	54.573438874230426	61.59722222222223	42.941994186781244	54.1078414696377	57.03982439636249	45.726797570278286	60.580428758932484	52.36291783303145	50.25041736227045	57.23827275551413	66.82146542827657	62.91272532571837	56.2294100029949	56.78684166805117	45.05253253881135	57.429281939695365	48.73501997336884	51.31229235880399	61.07478870993462	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014640155.1.faa	46.7482192629297	55.474336564436676	44.14336917562724	54.29120783079882	42.7743571169866	47.683764430805205	44.47884416924664	42.56862466221021	45.55127216653816	50.04100377234706	50.23320895522389	45.356662180349936	56.284444444444446	40.730264849575725	57.538300835654596	57.95290725612686	44.65725806451613	51.87444213031836	50.67362748400135	46.62224976758599	48.754561320006346	54.4814227857017	62.78346744696416	49.36573437261195	61.13188307273963	42.694649150913165	50.992220987458325	46.48248792270531	48.73406966864911	51.67861799217731	57.2262515478507	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014596935.1.faa	51.557632398753896	52.269102508336964	49.39965694682676	65.73913043478261	54.86451191642181	52.32979723378541	46.307260828918665	48.696791093647676	51.07913669064749	58.75242501119236	63.10403638430927	59.854615279111236	55.43425911061165	46.58792650918635	50.315059861373655	49.48152475536731	47.17806041335454	55.70570570570571	54.356465912564964	52.677812411448	64.94860286665701	64.22091357631705	51.6798418972332	61.42437386315937	48.76695437731196	41.63014899211218	57.32290308561495	51.106806862202546	54.769610109415936	62.240356083086056	56.84832987054499	49.4609604704345	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014295415.1.faa	49.78962131837307	53.550863723608444	45.03893856359966	56.56690140845071	41.324575807334426	49.97059688326962	45.0199203187251	42.70386266094421	47.06703910614525	51.55217965653897	52.21405100923173	46.780018055973514	56.858882521489974	42.329068114256174	56.9700157811678	65.07578200580458	45.53092858177604	52.986079928154474	52.46735628285569	47.79354436301263	50.73458958799105	58.229868747782895	73.87138382163258	49.63088280529068	69.36505219921273	42.49314626673117	53.89900926813679	48.807534558711836	47.79260780287474	51.71452009844134	60.78047042052744	64.19572758809568	49.90955434961355	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_013402795.1.faa	63.40332697027543	49.50481238666481	56.515093618647306	52.70577535243292	41.544232572678965	50.21375825884182	42.526158445440956	45.94662956873656	47.05882352941176	51.38390936469238	52.53147235905856	49.09427475869364	50.14613136440548	52.39195747631153	49.45619335347432	48.36353420424217	56.85421994884911	49.56567517767834	55.884942764895804	51.00954979536153	48.71151971026605	54.85888634630054	51.05611601513241	48.079255964415694	51.109467455621306	39.33689238550154	49.937282229965156	61.45333333333334	46.546368880343145	50.370792926411866	51.93750957267576	47.65405067250547	47.770791654758504	50.74767826223832	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
