POCP	GCF_900637845.1.faa	GCF_900199515.1.faa	GCF_900167375.1.faa	GCF_900155395.1.faa	GCF_900104665.1.faa	GCF_014202755.1.faa	GCF_014202635.1.faa	GCF_010537335.1.faa	GCF_009831105.1.faa	GCF_009696175.1.faa	GCF_004365815.1.faa	GCF_004341945.1.faa	GCF_003725415.1.faa	GCF_001945605.1.faa	GCF_001945525.1.faa	GCF_001564455.1.faa	GCF_000469305.1.faa	GCF_000384195.1.faa	GCF_000313565.1.faa	GCF_000177375.1.faa	GCF_000157995.1.faa	GCF_000156655.1.faa	GCF_000154285.1.faa
GCF_004365815.1.faa	28.2317227422211	33.86756642766765	33.61811191798377	37.13125267208209	34.7239263803681	32.72300469483568	35.84812623274162	36.58329800763035	36.29955947136564	35.526921306948914	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004341945.1.faa	26.498855835240278	45.20255863539446	35.06569915669739	49.00883218842002	37.573016770303376	35.23626256147103	41.023921305611445	55.91041869522883	51.32136372806133	37.72832248582826	37.70622142715166	100	~	~	~	~	~	~	~	~	~	~	~
GCF_003725415.1.faa	21.836734693877553	31.025695476746655	26.500322650032267	38.08396124865447	29.83323038912909	61.935178613674005	50.236142182450905	36.49946638207044	31.32904370978478	47.4147924878275	30.582842174197772	33.63345338135254	100	~	~	~	~	~	~	~	~	~	~
GCF_001945605.1.faa	22.643391521197007	30.48551781621171	28.930154040936905	37.74023231256599	31.71619163129169	44.08153810516563	50.61998541210795	37.46596858638743	31.716336741353057	45.060186236656826	33.055020338257336	35.27908805031446	43.59637774902975	100	~	~	~	~	~	~	~	~	~
GCF_001945525.1.faa	19.909069155300312	28.683574879227052	24.979625101874493	34.48205546492659	28.322908522283036	40.013374944271064	42.34002802428772	32.76699029126214	27.50734368443139	38.648293963254595	30.991735537190085	30.416587407266505	40.42022051175369	51.745966918521546	100	~	~	~	~	~	~	~	~
GCF_001564455.1.faa	20.73050345508391	28.568477587275353	25.831416021752773	35.00104668201801	28.58288234115053	42.62445515026382	47.773766546329725	34.461282956196804	29.769346841991805	41.77727784026997	31.020581370676855	33.62573099415205	39.42307692307692	55.22012578616352	51.143956266450694	100	~	~	~	~	~	~	~
GCF_000469305.1.faa	25.25391161130936	38.628158844765345	33.07410795974383	48.3058608058608	37.62008733624454	50.63291139240506	66.12386545648693	43.829401088929224	38.3451536643026	52.89890981169475	35.896840148698885	42.19445032832027	47.60009365488176	49.50699380875946	42.980132450331126	46.28662275721099	100	~	~	~	~	~	~
GCF_000384195.1.faa	23.92075694855115	31.958762886597935	29.141328144003893	39.22571219868517	31.349849502199582	41.98969910544863	47.74748923959828	36.36363636363637	31.670445956160243	44.52980132450331	33.51471679445956	33.766816143497756	39.62593516209476	46.09756097560976	47.57554462403373	45.87155963302752	47.147066702384144	100	~	~	~	~	~
GCF_000313565.1.faa	24.184782608695652	37.18229254334287	37.85070566230233	37.67228177641654	40.285761208737064	27.788972339256272	31.113225499524262	39.411864120331245	41.76685833768949	29.864743011722272	34.870118699466715	41.492776886035315	26.089965397923876	28.99488926746167	25.136612021857925	26.674560216508798	33.09104125022715	29.320869896985887	100	~	~	~	~
GCF_000177375.1.faa	29.22926192031352	28.43417294209296	32.89369559482986	28.465804066543438	29.107276819204802	26.061145740575835	29.44707740916272	27.985367128298925	30.227459577966563	28.33574529667149	26.48401826484018	26.42512077294686	25.989159891598916	24.62962962962963	22.132185363383137	23.652537938252223	28.567242894813948	27.79187817258883	23.872409589597723	100	~	~	~
GCF_000157995.1.faa	23.01108733709395	34.68802698145026	41.02214650766609	33.361745652915104	34.304047384007895	23.953744493392072	27.593440122044242	32.25533355909245	36.99371508379888	25.153595952294904	28.541882109617372	34.137321112719086	22.898249263303867	25.516299709848095	22.395487723954876	23.843416370106763	27.585579024034963	25.25329764863315	38.96586201971147	26.20647525962126	100	~	~
GCF_000156655.1.faa	23.358929898439435	35.5781185246581	29.018044481745697	41.81016379672406	33.132287897064735	45.418968692449354	52.17391304347826	40.37900874635568	35.4022491349481	49.23250564334086	32.99276287782035	37.00879765395895	44.737406216505896	43.82754994742377	37.469536961819664	40.48363560558683	54.12488605287147	42.476375090865034	30.9309818551806	26.47754137115839	26.911314984709477	100	~
GCF_000154285.1.faa	26.990801576872535	48.86808881149325	35.619761799735336	52.09713024282561	42.00759173344581	36.08949416342412	41.63254861821904	53.413566739606125	50.50091074681239	37.875178656503095	38.087774294670844	52.46774523858284	34.333408526956916	36.72341366349768	32.03324808184143	34.808324205914566	43.31087584215592	37.715019255455715	39.68225948808473	29.00699300699301	34.41811107180757	39.010989010989015	100
