POCP	GCF_937425535.1.faa	GCF_900114315.1.faa	GCF_023078375.1.faa	GCF_017311575.1.faa	GCF_014672835.1.faa	GCF_014644455.1.faa	GCF_014283215.1.faa	GCF_014192375.1.faa	GCF_013201075.1.faa	GCF_009900765.1.faa	GCF_006542395.2.faa	GCF_006542375.1.faa	GCF_006542355.1.faa	GCF_006539685.1.faa	GCF_005844085.1.faa	GCF_004761865.1.faa	GCF_004353985.1.faa	GCF_004346035.1.faa	GCF_003352165.1.faa	GCF_003350405.1.faa	GCF_003253705.1.faa	GCF_002937115.1.faa	GCF_002005465.1.faa	GCF_002003665.1.faa	GCF_001787335.1.faa	GCF_001598495.1.faa	GCF_001571345.1.faa	GCF_001547995.1.faa	GCF_000964405.1.faa	GCF_000964365.1.faa	GCF_000963885.1.faa	GCF_000745835.1.faa	GCF_000687875.1.faa	GCF_000378165.1.faa	GCF_000231445.1.faa	GCF_000193495.2.faa	GCF_000014285.2.faa
GCF_004353985.1.faa	45.13572122934271	60.45594383529226	51.014281815700905	57.48688155922039	22.239314361059222	56.748768472906406	67.03544994156603	31.65858965483137	35.20638503708481	56.89717269944175	18.235432885114413	21.198760724499525	23.59448055650587	26.51564185544768	37.36471861471862	60.635094442923624	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004346035.1.faa	32.073605065294814	28.01742456438589	38.14699792960663	32.347779127852036	41.50102810143934	30.531645569620252	29.03866248693835	51.03710195734735	42.15997373892111	33.184542787909706	38.94110876654517	46.206358494246146	54.233284883720934	58.03497085761865	43.56385018535089	31.63504029113595	27.838288686095574	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003352165.1.faa	43.271717268460876	40.020523345305286	44.485795806971836	45.43927648578811	32.063543524071974	46.022106158144055	42.51236998889226	41.50995960440172	39.579814189189186	43.002202104232936	27.172737107825462	31.3003663003663	34.075723830734965	36.036604607131586	42.86414909269249	45.1102528964744	42.7594070695553	40.61165449786472	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003350405.1.faa	34.65365665153125	31.952356292076644	42.67971396311629	36.209150326797385	43.82299720348742	34.09062998894756	31.600937531845513	54.196642685851316	44.83052654018333	36.68975754576942	36.620234604105576	43.221601489757916	49.59109100400209	56.40204865556978	47.27250185965782	35.05102683633615	32.049070346942685	58.850606779188176	40.04265529192215	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003253705.1.faa	41.20190610660078	65.19368183527642	55.540661304736375	62.43772448152011	26.841359773371103	61.72731258220079	59.032795997776546	35.03097893432466	34.25648943356171	65.07446221731936	22.32406400497126	25.35033852936545	28.225326991676575	30.225480702725132	35.98983088316569	62.244897959183675	56.84625492772668	31.41104294478528	44.206059177177885	35.589181460741095	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_002937115.1.faa	47.26618165454136	37.896652686555356	38.94823336072309	39.503386004514674	24.555788544310783	42.51685393258427	42.69636576787808	34.127693377023135	36.07246845681009	38.053497198626424	19.234415738326618	22.09051724137931	25.52411501890251	28.320693391115924	39.99818971759594	42.02765821045883	44.581097197376266	32.09536006304797	45.946203739030906	33.471233403886856	39.56923076923077	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_002005465.1.faa	31.763864773771832	27.685541506322153	38.065038456348674	32.60930888575459	45.13498822250408	30.753000131873932	29.114881660002162	52.764588757849594	46.24801632282929	32.78841041998937	41.1968954248366	50.02079002079002	61.07576633892423	64.78551336146273	47.68185451638689	31.42198725769283	28.185132671662956	66.80284460584052	37.79890521463555	59.165207238762406	31.903485254691688	30.60809436648363	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_002003665.1.faa	24.54856603328219	22.733701941622734	30.85507959954046	28.586278586278585	49.22637467269698	27.230646448523544	22.772526780088217	42.832469775474955	31.716417910447763	28.150177247824686	60.00558971492453	68.90034364261169	64.97803049883692	60.0	36.21525533290239	28.33800957253672	21.657316503038803	46.53184653184653	32.36130867709815	45.50054210336104	26.216423637759018	23.179896665100983	50.924809006835545	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001787335.1.faa	31.809125323769678	27.02847356026547	36.57612953773831	31.279814638135477	44.138050641692686	29.655172413793103	28.810526315789474	50.97402597402597	48.020729959201674	30.536610474842362	39.607233132412986	47.71603717619142	57.76591829223408	65.22325189553496	46.420740358570875	30.46956977964323	28.09010967295722	60.67677946324388	37.02879399081931	55.33173686434709	30.334158415841582	31.008828489237178	69.5366263954733	49.26259337291707	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001598495.1.faa	28.278093962727375	25.20266182698125	33.56632730588057	31.421725239616617	48.43250159948816	28.342958685028876	25.608453045233286	47.56974907878575	37.6001001001001	30.489991036749327	48.03246433841613	57.71356783919598	71.5400504934588	70.19349526554137	41.02756141402037	29.861005040476552	24.62406015037594	54.68074061256273	34.407722513089006	51.46130853537031	29.044695130658287	26.83251888049756	60.36250457707799	60.859073359073356	58.76685934489403	100	~	~	~	~	~	~	~	~	~	~	~
GCF_001571345.1.faa	32.94814814814815	28.995651712800935	37.882504841833445	33.13577586206897	45.80556979326841	30.276619931792347	29.800771878585586	47.413667492350285	43.40323285277414	33.24001018070756	37.76290630975143	44.18740279937792	49.50190182937874	57.090667552308204	43.52040816326531	31.4874854104526	29.163401253918497	53.66556243698689	39.78834524463991	58.78096298357918	32.47214399412269	32.36624704956727	54.21068517959553	45.685757347400155	57.849556234540955	51.43202208419599	100	~	~	~	~	~	~	~	~	~	~
GCF_001547995.1.faa	30.876599344400972	26.583723319255792	36.86590363148227	32.19360568383659	48.62102217936355	29.61787832804525	26.931270321784957	52.00968523002422	43.09613572101791	31.29346314325452	43.16089434458571	51.809651474530824	62.353183597774574	64.41912588718715	46.332961517010595	31.194093426096835	26.352201257861633	58.039840637450204	35.47215496368039	56.52040503221847	30.08401120149353	28.757894736842104	66.93521315877811	54.89224137931035	66.91377921031426	63.29953198127926	52.8766687857597	100	~	~	~	~	~	~	~	~	~
GCF_000964405.1.faa	32.10963783890758	27.89585547290117	38.64871861247735	33.180283592167456	46.10901611244429	30.830590022790577	28.271321070234112	47.895967270601986	40.57130349129912	32.69549687460135	38.47630013433122	44.97560975609756	49.781897491821155	54.05630518074296	42.616033755274266	31.942277691107645	27.833938561193445	54.39052570768342	37.72908915529833	61.4064462118041	31.897398134511533	30.840476894275298	56.30392008475859	45.660805445263755	53.180624452874234	49.87017483122728	66.71949286846277	52.27164036346246	100	~	~	~	~	~	~	~	~
GCF_000964365.1.faa	41.43522666188855	38.60118478884005	42.38214529719882	43.97825316156483	30.391872278664735	42.271610453428636	40.182605421686745	40.58227848101266	39.43883056999902	40.59584035975267	24.33381203127493	28.183141886426142	31.51875571820677	33.99915002124947	45.96147347076715	42.62688614540466	42.116496220542466	36.278195488721806	54.565138939011185	38.38015322874863	41.514558887440245	46.907630522088354	35.89977815476967	29.487785657998423	34.22250316055626	32.006439338504315	35.650869075903465	34.86150907354346	35.19679117573327	100	~	~	~	~	~	~	~
GCF_000963885.1.faa	32.20407749264631	28.997053366801268	37.94624949859607	32.83039955294775	44.46035439412923	31.12011501764475	29.19214676536852	54.76731847809611	45.47806524184477	32.92939936775553	40.47139403706688	48.79048790487905	57.982873453853465	64.31549687282835	48.07235278584632	32.04835460040296	28.465097565882115	59.2781189156807	37.30385164051355	58.67052023121387	32.07188963422352	30.054534437487373	70.01572327044026	50.57516858389528	64.65869532314213	59.24050632911393	53.21183149088736	64.28808496515101	52.70411985018727	35.86858103738197	100	~	~	~	~	~	~
GCF_000745835.1.faa	45.763479836882645	56.21712099473935	50.84698950469527	55.65885589602505	23.043478260869566	55.89088272611927	69.419080604534	32.20440881763527	37.86360303104375	54.85193621867882	18.65340841020726	21.20808618811282	24.473257698541328	27.14739030528504	37.473761065985215	60.29737717029923	68.4953095684803	29.75149105367793	42.83652458385452	31.466563136950406	57.080822403403054	43.45502446368084	29.374935851380478	22.00593471810089	30.510510510510507	25.681588690676538	30.564652178227647	27.133595493676268	28.90236627560151	40.66042828864495	29.14076037101213	100	~	~	~	~	~
GCF_000687875.1.faa	38.211134773349556	34.751773049645394	42.922069242079935	39.45530726256983	35.30148505993916	37.161897295178356	34.33444170331438	44.461282012426125	39.293747188484026	38.4119041348433	30.668546113572294	35.0	38.44397945596348	39.16290378603682	43.69060190073918	37.9615952732644	34.02051488334674	39.75145979937116	45.37934968625214	42.47327362034094	38.15006959382513	37.712035541195476	39.7359320968249	35.32910388580492	38.87123619307006	38.232104121475054	40.128434886499406	40.411413404114136	39.08941141231092	43.11392732445364	40.93312597200622	34.16895954346275	100	~	~	~	~
GCF_000378165.1.faa	24.56357697938957	22.277893193205426	29.696876442529618	28.08352217546131	46.08204905578467	26.75760755508919	22.791032250329696	41.16076197258323	31.921618204804048	27.329098608590442	56.55120481927711	64.2637249871729	61.63742690058479	57.4748743718593	35.83560812860176	27.563805104408353	21.680428475786655	45.42741793926628	31.260364842454397	44.68013468013468	25.74772431729519	23.514906971531047	50.427509293680295	75.7754800590842	48.39168295717079	57.75824175824176	44.364718235911795	52.774474831549746	44.44249341527656	28.795733965338467	49.22907488986784	22.285131921639678	34.42201834862385	100	~	~	~
GCF_000231445.1.faa	24.260820685778526	21.60019514574948	29.3937068303914	27.413626089764286	51.8494484101233	25.362643935995216	21.562761756611224	37.582105450026624	30.24224072672218	26.13156306578153	38.675	45.35002554931017	49.26590538336052	44.17779632721202	34.72012102874433	26.47739546366302	20.527957228781464	38.17608962016454	30.08600727753887	40.799194089993286	24.44860890875018	22.622510628776013	41.123054114158634	46.885728298185384	40.31543505227716	45.57599649583881	41.62303664921466	44.6266297905966	42.21677464542112	28.018324220481748	40.77598828696926	20.99016615801967	33.91877058177827	43.71097234611953	100	~	~
GCF_000193495.2.faa	32.22918531781558	28.64165865127712	38.420435292584386	33.29706202393907	44.85383151703857	31.25557680050988	29.385181292695744	51.656604329259316	41.87582562747688	33.49601849473414	37.04924389298178	43.730283911671926	50.761607634428344	57.22689075630252	44.61894953656025	31.82353711218746	28.216258879242307	57.47343909183525	40.130483064963904	58.7152094461625	32.11859172328598	32.23058637083994	54.71467805920048	46.56226126814362	55.844728716365246	51.0482180293501	58.37688734030198	53.10289389067524	57.59208036104236	37.602523659305994	53.86590154032015	29.355322338830586	40.95712560386474	45.07266926621765	42.18805231530576	100	~
GCF_000014285.2.faa	37.41474147414742	33.11889444841554	44.81371087928465	41.070590076694316	43.60730593607306	38.09938971229293	34.67025257249766	47.08304735758408	39.10848417682551	39.86516195222043	36.781883194278905	42.63811146264298	46.09897458760589	45.35793061961099	44.40852314474651	39.859197124026366	34.187288782295866	44.27894380501016	45.601666399615446	46.33392944236709	38.081884464385865	34.97207927296617	43.53425147558576	43.950386145565176	43.01130524152107	44.88552825036757	44.151898734177216	46.39528248050219	44.31087030138842	44.7141625969549	43.62961654002474	34.605175846051765	47.65942413001237	40.86343235734131	40.93716719914803	46.65983256449684	100
