POCP	GCF_900302505.1.faa	GCF_900302495.1.faa	GCF_900302485.1.faa	GCF_900302465.1.faa	GCF_900231835.1.faa	GCF_900184945.1.faa	GCF_900184895.1.faa	GCF_900184815.1.faa	GCF_900172375.1.faa	GCF_900172275.1.faa	GCF_900142295.1.faa	GCF_900129685.1.faa	GCF_900110025.1.faa	GCF_900109295.1.faa	GCF_900109035.1.faa	GCF_900108275.1.faa	GCF_900107585.1.faa	GCF_900106695.1.faa	GCF_900102905.1.faa	GCF_900100045.1.faa	GCF_023541015.1.faa	GCF_022899245.1.faa	GCF_019623905.1.faa	GCF_019297855.1.faa	GCF_019264375.1.faa	GCF_018457175.1.faa	GCF_016918935.1.faa	GCF_016765795.1.faa	GCF_016765775.1.faa	GCF_016653255.1.faa	GCF_016623495.1.faa	GCF_014681765.1.faa	GCF_014235845.1.faa	GCF_014199445.1.faa	GCF_013415485.1.faa	GCF_013155465.1.faa	GCF_013093415.1.faa	GCF_011326755.1.faa	GCF_011044155.1.faa	GCF_009908165.1.faa	GCF_009833495.1.faa	GCF_009830125.1.faa	GCF_009380135.2.faa	GCF_008369105.1.faa	GCF_008124525.1.faa	GCF_007855645.1.faa	GCF_005938225.1.faa	GCF_005887635.2.faa	GCF_004803475.1.faa	GCF_004348975.1.faa	GCF_004010155.1.faa	GCF_004006175.1.faa	GCF_004000435.1.faa	GCF_003688285.1.faa	GCF_003646465.1.faa	GCF_003544895.1.faa	GCF_003385555.1.faa	GCF_003290025.1.faa	GCF_003254295.1.faa	GCF_003217255.1.faa	GCF_003205515.1.faa	GCF_003172915.1.faa	GCF_003148765.1.faa	GCF_003116585.1.faa	GCF_003075525.1.faa	GCF_003072065.1.faa	GCF_003056725.1.faa	GCF_003054175.1.faa	GCF_003034995.1.faa	GCF_003034985.1.faa	GCF_003034965.1.faa	GCF_003008555.2.faa	GCF_002927635.1.faa	GCF_002900975.1.faa	GCF_002871005.1.faa	GCF_002797755.1.faa	GCF_002760615.1.faa	GCF_002751875.1.faa	GCF_002504165.1.faa	GCF_002358085.1.faa	GCF_002210095.1.faa	GCF_001890925.1.faa	GCF_001879715.1.faa	GCF_001870675.1.faa	GCF_001633165.1.faa	GCF_001294535.1.faa	GCF_001262635.1.faa	GCF_001205715.1.faa	GCF_000812685.1.faa	GCF_000768315.1.faa	GCF_000740785.1.faa	GCF_000740775.1.faa	GCF_000738435.1.faa	GCF_000714535.1.faa	GCF_000600975.2.faa	GCF_000473225.1.faa	GCF_000473205.1.faa	GCF_000429365.1.faa	GCF_000420745.1.faa	GCF_000382265.1.faa	GCA_005473895.2.faa
GCF_900110025.1.faa	57.31644260599793	48.9298293145489	57.25772323317816	53.028961679524464	50.26925148088315	53.81963749583009	53.56973995271868	48.93509766855703	55.58790904048807	54.61208684829207	55.38558786346397	53.925677563565245	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900109295.1.faa	56.284299290590276	56.11915132780666	60.243259085580306	61.42371107040042	53.45525617757922	56.038038496791934	61.4399023794997	57.61408083441982	53.9081617964589	68.66207292563882	59.30673642903859	56.94182503989554	53.83175070215327	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900109035.1.faa	58.053052417819515	53.860465116279066	62.77654867256637	61.18012422360248	52.55580504556862	59.50087565674256	55.66662792049285	56.041099282000495	51.515975526852486	58.89612150800109	58.04048180802186	59.16997671551842	55.941661382371585	59.46194225721785	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900108275.1.faa	58.797886393659184	51.02549889135255	61.54846164957388	59.97933083580933	51.51473423299366	59.499263622974965	51.38654448999277	52.6065130647445	50.89412432585865	56.70205237084218	56.41787190082644	56.16418764302059	56.480992608236534	56.18930378881139	66.69257675864749	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900107585.1.faa	42.651058294903635	46.279155868196966	42.752880921895006	43.254520166898466	46.49650263836054	44.98661725344863	41.683912427840106	41.21996303142329	41.23282490860961	42.681086519114686	43.505966863631095	41.198121589034145	44.6177478435543	42.717736033178824	45.56123634673484	44.46185368205376	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900106695.1.faa	45.35942885278188	47.76061776061776	45.218670589808745	45.171790235081374	50.179119754350054	43.289627971431614	42.13381555153707	42.11221915174817	43.881578947368425	43.70652316576978	46.87876596770306	43.12218393851047	46.69126691266913	43.68722186904005	47.12921552036746	48.40532395781015	49.54242458479268	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900102905.1.faa	60.8739837398374	54.74441383532292	62.68226245793943	57.20356991075223	56.13981762917933	58.661755678330266	55.78034682080924	57.21744038380132	57.03959773727215	60.2381325395582	61.144151798357406	57.305863708399364	58.50014505366986	60.295670538542765	61.92979963052437	68.02913198573127	46.95994747209455	50.01373249107388	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_900100045.1.faa	46.73478454020435	40.53179190751445	46.99054684695465	43.967302452316076	42.34130634774609	45.46340512620603	44.34621710526316	41.486471802673044	45.67216981132076	43.31097776208966	46.7204183918065	44.018514122952766	52.77469478357381	44.516866781017725	47.53632688735934	47.715965626413386	40.715239954783684	41.27473930623537	48.77481009556482	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_023541015.1.faa	61.205216609204015	52.619914516384355	64.52523240371846	57.453960830166615	52.82099638535283	52.61099899091827	55.87559161595673	53.94468704512373	58.66276232308443	62.65001621796951	58.62673484295106	58.13228294764484	60.44630822225551	62.64815970056144	57.81524926686217	59.09998464137614	42.67369559340362	44.345364472753005	63.269857608509184	47.67778477029579	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_022899245.1.faa	46.44910868315124	44.01696455619509	46.568394357267394	44.08587063280483	45.3971119133574	41.30037745038354	43.528645833333336	41.94269741439553	51.10385572139303	47.000465044179194	47.37727910238429	46.9112574474757	51.46509623671359	45.9608780050769	45.78465869106263	45.1883460859329	39.38565664453989	42.10884353741496	49.95093228655544	47.87363304981774	50.21197218924877	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019623905.1.faa	55.27263693951062	47.966740288424056	54.70016207455429	52.27438579421065	47.4493090533385	52.57842715943275	55.93162393162393	49.46666666666666	52.956024976750356	55.1948051948052	54.97872340425531	50.943396226415096	65.6323693682512	53.78593429158111	56.36585365853658	54.25167912812064	44.406470722260195	44.760213143872114	56.54043556665279	48.11796246648793	56.149885583524025	48.12422701662773	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019297855.1.faa	53.95437781723808	55.14568680924358	58.345819598441715	58.04858515750133	54.12804791102239	52.821170435999065	55.20198881292728	54.82712765957447	51.84640282477564	59.90316901408451	56.384256170780525	55.95432300163132	53.32332468950457	58.906825261965444	59.31726907630522	56.05362379555928	42.755964214711724	44.342190537913154	59.2992745794104	44.816753926701566	57.69722133503673	47.181915381090576	52.87882753205967	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_019264375.1.faa	56.97886042279154	49.88952717631462	61.60714285714286	52.00984413453651	50.8558888076079	53.52380952380953	51.3029108936062	51.67529283573958	55.295361837135516	54.519433564326604	56.580565805658054	56.43564356435643	62.12057630437824	55.02614758861127	57.56993965990126	60.7188887297723	43.4561626429479	45.031179514395646	62.06951277574988	53.178091956754194	63.24786324786324	50.07065473386717	57.449088960342976	54.27680427680428	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_018457175.1.faa	52.11340206185567	50.05401026194976	60.98692534795445	57.45807590467784	48.953301127214175	52.933348120217374	51.47336162187648	56.652845834903886	49.018794914317304	56.18194348725017	54.398790017645574	55.05430242272348	53.21916044295648	57.405679242767626	59.400682766468584	57.315789473684205	42.07611641333804	43.40201128280599	58.35501590054929	43.192384325880006	57.52872705566333	42.51359862582307	50.88479148620221	55.39382396952796	55.12337933918863	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016918935.1.faa	51.5207862930004	48.54355400696864	51.49665794827085	48.090909090909086	48.92674144855283	50.62599590257227	48.51569126378287	50.297619047619044	50.29264810849393	51.18166287015945	54.14773464883812	49.4605092792404	50.69674850696748	53.02613480055021	51.94060953373274	53.670783009906366	45.05813953488372	46.7499684462956	58.30716315238522	44.90514597296376	52.67387944358578	49.47446336047373	48.57324840764331	52.31741573033708	53.06828003457217	47.41367905807646	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016765795.1.faa	55.94598138193261	48.24694073972226	56.232091690544415	52.09027955886124	48.968438311244704	51.76722197208464	53.22715842414082	49.642218246869405	54.52625651133324	54.68969390620613	54.98013075246764	53.326713008937446	70.77164941700511	53.92236699239956	55.156893004115226	55.71179858042051	41.884127364136944	43.99700785438225	57.33235077376566	51.03920907763173	59.11997563946407	49.64249233912155	65.57624559637645	53.20033250207814	61.19318181818182	52.65769883766488	49.35362240775653	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016765775.1.faa	54.27985648385444	48.711409395973156	54.35238228307951	52.82758620689655	50.49359658484525	53.051539565169406	53.22467166979362	51.43071348244408	53.33791208791209	54.98013426496781	56.22963148658812	52.241904234708	62.97055057618438	55.33465871438038	57.336854017351946	54.631083202511775	44.64892744109717	45.71846791900464	57.97184717035335	52.23617536902402	56.81245366938473	50.58321479374111	58.744615384615386	54.22582826233941	57.738672578633775	52.57850395711004	52.62396422464817	60.78431372549019	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016653255.1.faa	48.925619834710744	48.34926151172893	50.945108120368964	49.18584308975912	47.89988492520138	49.41880943994364	47.13176352705411	47.40581847432632	47.283254156769594	50.94004441154701	49.125638956147434	47.87488775815624	52.766308835672994	50.44993572346807	52.11229585639088	52.63380281690141	48.36609490421936	47.047295531748105	55.99875350576503	45.00820248418093	52.86244154168682	47.795251310514956	50.57380292837357	50.62034739454094	53.25940356661172	48.03840877914952	53.392831845870525	49.53192678496577	53.85874011453504	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_016623495.1.faa	44.12032816773017	49.20136518771331	49.08987485779295	45.566878980891715	49.070682404015734	46.64279319606088	43.198857550874685	45.86189388169586	42.096436058700206	45.45581265681628	46.42811664332102	44.852837628503025	46.297983083929736	46.99460916442049	50.63873275421563	50.844527197765665	51.153937663573636	51.480242784590615	53.13734093900834	41.49447112699654	47.09969788519637	38.72556118754525	45.65	46.217331499312245	48.42075578116187	51.34258658710598	47.27199786039048	45.85533262935586	47.14304140332774	47.870717159106675	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014681765.1.faa	50.52605210420842	46.93315858453473	49.120894098405344	47.259350091968116	49.40072954663887	50.25430148252353	49.747358750574186	46.523279970670906	49.73190348525469	49.859606899318095	48.614856582495705	48.5417229273562	52.91614518147685	49.50161812297735	50.36271978359769	51.009713701431494	42.87682240844909	42.46836953926951	53.55642677121255	44.77208900410456	50.8158844765343	47.04576976421637	50.92113184828416	50.7986798679868	54.35987562525349	45.38307961068131	51.23988179365283	49.39728460855222	53.49962769918094	55.38993878094224	41.34627505357368	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014235845.1.faa	52.53399258343634	64.71777104085461	51.83901115465782	49.422973698336016	70.3140685501219	46.93136565940501	48.68207370393504	48.00802139037433	49.77060825810271	51.461038961038966	50.59691482226694	51.21587348948232	50.80279950596953	51.40985474223868	52.62449528936743	52.015166409212185	45.47952047952048	49.928338762214985	55.769529430035725	43.20280537697253	53.294760527161685	46.2732441985554	47.842672980794525	53.65250291036089	52.584403943830296	47.99617015456162	52.93785310734464	48.38395096127055	50.31951053704963	48.99427396858024	48.118948824343015	48.374253483742535	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_014199445.1.faa	52.02999009760928	68.27997021593447	54.84272812208035	54.226519337016576	63.42257062564709	49.207302426134994	50.05774412934685	52.14639515685195	49.793735676088616	57.86106032906764	52.18831975700676	52.580496071483594	50.28975265017668	55.62408223201175	54.55804932114159	52.43884787957737	48.15289892252437	50.046898030282726	57.20250521920668	41.99928083423229	54.59234608985025	44.43208895949166	50.0	56.86186186186186	52.22153656278926	51.429778842090435	50.20384391380315	48.77978753947746	51.23897522049559	51.62903470222761	50.61271017383871	48.84610132459375	61.19335347432025	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_013415485.1.faa	50.849031573361636	49.30400890868597	54.36076041213177	51.316642884939675	49.14246196403872	52.24559408754974	49.479544904381505	50.31666020421351	48.03250641573995	52.75131522820987	51.43931535269709	50.51724137931034	54.85153764581124	53.949718367907685	56.48497463249642	54.730279208457574	45.03327283726558	45.25970751386787	58.363201911589016	45.97140263277349	54.236764932860005	45.535186280307514	52.01679603002927	53.31743582550147	53.74766220687671	51.664904862579284	53.30516559901868	52.17215870880968	58.2238570677877	62.252405206564795	47.34873781220782	57.76437371663244	49.85188319932289	51.50501672240802	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
