POCP	GCF_900604355.1.faa	GCF_900461125.1.faa	GCF_900218035.1.faa	GCF_900142955.1.faa	GCF_900142165.1.faa	GCF_900141895.1.faa	GCF_900129945.1.faa	GCF_900112085.1.faa	GCF_900107245.1.faa	GCF_900105615.1.faa	GCF_900096945.1.faa	GCF_900086725.1.faa	GCF_024623325.1.faa	GCF_019042275.1.faa	GCF_018866245.1.faa	GCF_015999265.1.faa	GCF_014467075.1.faa	GCF_014218335.1.faa	GCF_014202695.1.faa	GCF_014202115.1.faa	GCF_009830285.1.faa	GCF_009696485.1.faa	GCF_009696445.1.faa	GCF_009696065.1.faa	GCF_009696045.1.faa	GCF_009696005.1.faa	GCF_004346165.1.faa	GCF_004346095.1.faa	GCF_004345005.1.faa	GCF_004340975.1.faa	GCF_004216775.1.faa	GCF_003885045.1.faa	GCF_003752155.1.faa	GCF_003589745.1.faa	GCF_003363435.1.faa	GCF_003201285.1.faa	GCF_001881565.1.faa	GCF_001754075.1.faa	GCF_001487105.1.faa	GCF_001280875.1.faa	GCF_000732725.1.faa	GCF_000424105.1.faa	GCF_000235445.1.faa	GCF_000173975.1.faa	GCF_000160115.1.faa	GCF_000160035.2.faa	GCF_000018685.1.faa	GCA_025150245.1.faa	GCA_025149915.1.faa	GCA_025148285.1.faa	GCA_003148945.1.faa	GCA_001414325.1.faa	GCA_000242235.1.faa
GCF_004346165.1.faa	52.21527589018755	36.830307106030034	31.47672552166934	34.038342609771185	45.193818753273966	36.44859813084112	28.04637070214728	32.58426966292135	32.058226134055516	40.36005352146941	38.021041416966305	46.2844159315691	29.518855656697006	40.87513340448239	49.162011173184354	35.537069468768244	37.78290327230792	37.22591153990728	32.61018107277076	37.23129836629407	39.83096180592703	46.391752577319586	34.000946222993214	38.73413803775921	37.09854300485665	36.92256005375441	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004346095.1.faa	45.80833942940746	37.92118109298726	31.59278079551428	34.55435070087278	44.21481793898496	32.59977620290936	27.1505376344086	31.89747241011036	32.701949860724234	35.52870875552092	35.28485542513599	45.50941227187814	29.362435381964385	37.01643489254109	38.98360655737705	32.0271764891768	36.046149048955414	33.601501743094666	30.800975426749204	36.96359411309062	39.925203989120575	43.96921975662133	32.10725335166724	43.23960262670483	39.30034129692832	33.31491712707182	43.0536238602998	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004345005.1.faa	50.16303638972218	42.32477521395299	29.836366416883315	32.4040981653562	45.78980490874764	30.610268001291573	26.025316455696203	30.728682170542637	30.786552999839152	35.63892145369285	34.8938347403428	54.755487100500574	30.177204571668238	40.677190574239305	38.012117714945184	31.685518782292977	39.67706320728678	31.833534378769603	28.492617231867595	36.47591601482091	47.2970173985087	47.99065420560748	30.270676691729324	39.03411608329641	36.84997011356844	32.753114021079526	47.81596604135287	47.123893805309734	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004340975.1.faa	42.03211859172329	36.99004975124378	34.031413612565444	34.56892961266139	41.33846609416642	37.45752548470917	29.13996124608735	36.35672181023008	36.70911261440509	35.127401553345145	35.31009506564056	40.78787878787879	30.481667864845434	36.856045556879884	40.42849677756488	34.55611390284757	40.03303055326177	33.934356951683334	29.967819790828642	45.57086614173229	35.90076786769049	41.09772423025435	34.78659095072358	44.623655913978496	39.46555171786948	38.90751331098403	40.575916230366495	41.205940239756664	41.64460364429217	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004216775.1.faa	37.36543909348442	38.56679035250464	29.366149696561024	34.32644150507256	35.29572090487871	32.53982459280472	28.21883998354587	29.86479548177306	31.58645276292335	37.08191341663512	34.68312300651782	39.83853006681514	31.870100783874577	37.38168408113091	37.312252964426875	34.40646933170583	36.34583521614701	34.335546010672914	27.699784017278617	35.74850299401198	30.412200243120786	35.455014622398075	30.001654807214962	39.227774172615185	35.39852095316351	32.148541114058354	36.51433691756272	38.1176089421675	39.143468950749465	38.47609219126247	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003885045.1.faa	43.87995493188569	38.23607309967335	26.12623045744065	27.83603431839847	39.10965043322378	24.82509047044632	26.66066426570628	24.818628598174584	24.876699145916035	31.771127423301337	32.832358281218475	37.79710731263275	37.428006533138486	35.61542720059052	32.74257864421799	26.585286809981636	29.854420894883322	28.07625649913345	23.683254631311296	34.743685388468506	48.970388019060586	31.129638327853453	27.635490509947402	32.99875944513364	28.015475648611744	27.183536731275424	39.0892648154059	34.103199639477246	37.65966213432221	33.0280615240108	32.2052521700912	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003752155.1.faa	35.924538399785924	32.839123699933616	34.25780018909549	46.15290818192903	34.28792569659443	35.71071488085319	29.3369663941871	34.32955090298865	33.549136786188576	43.133021470552954	41.63934426229508	34.4169518294288	27.15111301369863	37.12714937419581	40.61433447098976	50.660160734787596	35.78619027364242	48.53649499814746	27.97319932998325	34.88863828587539	27.898129557222866	35.68331459771961	28.713024624438592	35.740346609911825	44.345283889829204	31.70209260174658	41.12517580872011	35.478973736146955	35.072112144493865	37.47591522157997	35.49618320610687	28.36573830793484	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003589745.1.faa	31.774394033561222	28.675	32.705350414468725	28.71701800921402	31.322609472743522	32.56095103767883	27.830259409206775	32.80321900747269	34.33614119534697	35.73092204411563	30.90936693487172	30.670731707317074	22.28509511196725	28.012248701903875	35.186809331696196	28.246205733558178	30.473815461346632	28.304292392690183	41.30170316301703	30.58124174372523	24.17804154302671	37.830025052996724	32.533677800332164	35.03610108303249	33.4187877678081	33.21407274895647	33.926218708827406	33.98810596503875	29.88559786867262	34.66281310211946	31.763075857291305	25.834611301167865	31.96509372979961	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003363435.1.faa	35.23364485981308	34.1948310139165	34.878968877711415	37.41024704880127	34.29454170957775	36.51321256440087	29.677586430143727	35.40570699824646	36.55629139072848	36.47791212737938	38.764559612616154	34.594168636721825	27.254273504273502	34.897840046701695	37.986676535899335	39.218213058419245	36.01640967605036	37.02699371379268	26.71232876712329	34.31786216596343	28.832155290642476	35.46371936568957	29.56897883516144	36.89717925386715	38.5264773599386	30.879211175020544	37.70698849284311	35.362713917916096	35.19838601210491	37.171684817424726	33.80199179847686	29.167978176476762	43.068213200773265	30.980012894906512	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003201285.1.faa	35.85710802243355	34.99897603932009	32.89510884930733	39.82528838615747	33.738207547169814	31.99583890622678	31.15589804386485	34.10164638511095	33.752962085308056	41.24655267512411	40.12929486412067	34.62647129473937	29.82525814138205	36.55276490244691	39.05182804339092	37.72089397089397	33.98020819946022	42.5042492917847	26.276500447894897	32.80490923037586	28.927485035815913	33.989935298346516	28.086290883785665	35.62825075280591	38.259305382593055	30.52817419449757	38.10921153355448	34.61380724538619	34.22118571253222	35.077630822311676	34.681697612732094	30.713658107976176	43.0600955494091	31.694621168305382	43.66373902132999	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001881565.1.faa	33.93099437875557	40.96953374852718	26.953210010881396	33.327297419646904	31.417516043790112	24.906726964386657	30.95441190408492	24.70058235358752	24.774470004510597	36.53519363205438	31.79864361448085	34.26546638574985	38.76764030193633	41.1919599754235	34.64468329333194	28.99510803098247	30.564817621501465	34.155927246138376	21.885636487406398	32.98450392433085	33.01373202242626	27.262705324661006	26.771314912375015	31.861600509445974	29.283955902814938	25.412319084483336	33.20273256982117	30.929911992365604	32.42716554613661	29.98236331569665	35.242336371168186	34.80055020632737	31.69811320754717	24.424269264836138	29.526075748562363	33.90442674569364	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001754075.1.faa	51.12962439988704	40.19199629886653	32.566341954988246	33.038801383019596	46.48097826086956	33.517561062578	28.735475051264526	33.50383631713555	33.487215909090914	34.285714285714285	35.061523572514865	49.16736053288926	33.42269883824844	39.03395856319725	40.491570820860254	31.706204379562042	37.727068007806636	31.576898118105127	30.530656149157405	43.88242315726649	47.40381435343402	51.29391602399315	33.66859027205276	44.39055932751374	38.382184378581954	37.14990311784393	48.06490026793689	48.76513317191284	56.09790806887719	42.37491432488005	36.838006230529594	38.79206401403047	34.79660520924788	32.142857142857146	35.09489051094891	34.475006612007405	33.013019218846864	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001487105.1.faa	53.35116659236142	39.7081876281201	31.97643277986074	33.167918454935624	45.93977451120308	35.15981735159817	27.851192186153405	33.744557329462985	33.47224853191892	36.775553213909376	36.468023255813954	45.308623960309355	29.584835445982087	39.54382368016402	40.80747414080748	33.29583802024747	38.395688015218774	33.405875952121875	30.641148325358852	38.51000157505119	36.900665290204174	46.406421014228386	33.508403361344534	41.2137836447797	39.03371567605144	37.622088655146506	49.99214454045562	47.96302636083533	48.59154929577465	44.33704176545687	38.65172243283336	39.37286202964652	36.83073599753124	33.58442035642109	35.9242727412652	36.842835344708	31.967828418230564	49.28559697815733	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_001280875.1.faa	46.47826086956522	37.87807183364839	32.25918225918226	33.460076045627375	42.44915018110895	32.89110005527916	28.697602691714568	32.78198134787964	33.68807339449541	36.18446476877496	34.179549000141826	49.72949886104784	31.9612314709236	37.61755485893417	39.78913219789132	32.405380043791055	37.10449143386325	32.93898710620763	30.85618977020015	41.16564417177914	42.05197435032062	44.94958429152662	32.857385687574364	43.73750832778148	38.26160337552743	34.88626023657871	44.85924112607099	49.825378346915016	48.692476260043826	41.70498761938451	39.48380891311318	34.79476568616486	35.192423331328925	32.632703954399716	35.032993401319736	33.59078590785908	32.46630160067397	54.4408945686901	46.72422549517521	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_000732725.1.faa	34.432143301405645	35.520149953139644	33.7577774562292	39.68742870180242	34.098833714079596	31.81541273225708	35.88007736943907	31.574318381706245	32.81226286234634	39.46304201303078	37.130647130647134	35.33014822981747	34.493894439398524	36.59205617730964	38.80065717415115	37.5547590601354	32.65949067996849	38.9748326021704	26.197398622800307	32.94163728946338	30.983246908655765	33.92226148409894	30.17658786670464	34.84530309393812	35.57474518686297	30.132649984926136	39.3485342019544	33.598993288590606	34.81963927855711	34.49138819372884	35.204012471194254	31.686507936507937	43.47323835194455	29.70531615578261	38.41424362751377	40.56814180068083	40.21626704278326	35.626436004865525	33.90576213454442	35.06997367327144	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_000424105.1.faa	28.975320212433616	25.633944263118252	39.95070155479712	29.807827184738393	29.476047904191617	33.45506187867721	34.52901281085155	38.302796528447445	42.83117932148627	28.066070199587063	32.58049748206928	29.1756052712228	23.343810444874276	26.280593821051223	31.956943709193574	30.257801899592945	29.17572312322354	29.50889679715302	29.358922008983257	30.637661906343403	24.025741866285305	33.17167798254122	30.75208913649025	35.12531783508899	35.065413672378845	32.91975185111067	30.506790327923156	31.368993653671808	28.13927839924374	33.66951124903025	31.655052264808365	23.380315053890797	31.507962300942477	31.939014855355747	32.59319286871961	31.153734379540833	23.39408757501667	31.065602221450884	32.70475134035866	31.451612903225808	29.617502604554247	100	~	~	~	~	~	~	~	~	~	~	~
GCF_000235445.1.faa	31.456154465004023	25.50456356858208	28.956162767839594	25.871506770383174	29.58570768519945	30.409110080134965	24.953473945409428	32.07282913165266	31.227701993704095	30.559480079118394	26.688658498272073	30.619971604354003	22.67161410018553	25.898491083676266	31.55109489051095	25.78385006130671	28.840179496030377	25.109681193331383	34.91827637444279	29.648671808054843	26.145782545099948	39.89533011272142	28.357060407849172	32.43090806542583	31.94656488549618	30.24948024948025	31.75525551187831	32.95795795795796	29.853896103896105	33.849869188971624	28.128939312083556	22.032461240310077	27.970504441092675	45.72935686751877	27.060003342804613	27.647498132935027	22.75564635115197	34.90582959641256	31.673688242052854	33.3580567402188	26.94427434170239	29.02962206332993	100	~	~	~	~	~	~	~	~	~	~
GCF_000173975.1.faa	36.67111704494882	33.786875376279355	35.06146445750936	31.64167113015533	38.182077218977064	34.3204252088079	28.82133639231431	37.65387400434468	36.45813645813646	32.298790110468175	33.270458502611724	35.542607428987615	27.18615724073859	33.239508700102355	37.24608724608724	30.58540497193264	41.20253164556962	31.015752308527972	29.21519954172236	37.87140386731646	29.873997709049256	37.622861303239894	34.032145352900066	44.362703165098374	39.26465487339576	35.49475262368816	36.14552297318488	37.10283566791937	36.090338019742745	43.69426751592357	34.33130449087021	29.685720792530173	34.960726936701064	33.382218148487624	33.93762482716239	32.66860545630799	27.9640141373032	38.71496475987543	39.24843423799583	36.79675620881906	31.510342873335222	33.4624608005903	30.989682842949946	100	~	~	~	~	~	~	~	~	~
GCF_000160115.1.faa	32.59888965995836	27.77019650655022	38.654012079378774	26.575258049607147	31.71135385633896	32.20694476811932	29.29798232449558	34.02243237299318	39.17477978674084	27.780292741813795	31.360946745562128	30.46875	23.25124443280063	28.39596432226934	34.141976536090674	26.797261316089767	29.309376754632225	26.820103334899017	33.779342723004696	32.11367013372957	25.151554237069522	41.22205003320788	34.94838845586686	36.38044371405095	31.63499686782209	39.32094517091076	32.666666666666664	32.68402706581915	31.42406726221755	36.05577689243028	31.948255586044688	25.035233824471494	30.52936910804931	36.132201875837424	29.229934924078094	28.843689942344653	23.923444976076556	34.19203747072599	36.74282121148606	33.77175232699312	29.912843282354878	33.55085508550855	35.54146112285647	34.413547982437805	100	~	~	~	~	~	~	~	~
GCF_000160035.2.faa	30.863133706735603	27.512607013017476	30.831191088260496	29.08972691807542	29.20867283524375	27.377049180327866	28.2934963868816	29.585798816568047	31.81570832577544	28.686429849220545	29.983131852684846	28.27712713418936	26.367032718215782	27.96715600895745	32.40205523442518	28.991791853802074	26.918373586059307	28.73714737674664	34.62172559076754	30.32052255810421	27.1112600536193	36.301609517144854	29.196098217288935	32.421295533212465	33.383433533734134	29.363080244692334	30.928928625549325	31.08953258722844	29.38621887666474	30.627951722931606	27.836851293445484	26.18836072856508	31.63067758749069	34.61335212259996	28.673302629624125	28.792153701464464	26.833350768908883	32.72180926775265	30.469011725293132	32.76339358410682	29.725274725274726	30.462519936204146	34.090909090909086	28.836509528585758	34.08591408591409	100	~	~	~	~	~	~	~
GCF_000018685.1.faa	32.76772247360483	32.930672268907564	30.755711775043938	46.48163077277439	30.871994170512508	32.08391176924263	29.07558920503114	30.152841667903253	29.89548109437442	41.88683524209094	36.30196126803997	32.772277227722775	28.343171178506005	34.63625290665486	36.76776069796427	43.8255033557047	30.856005308560054	45.94941135330458	25.04649721016739	32.74815205913411	26.09351432880845	32.06141004620659	27.237354085603112	33.41359773371105	39.47858472998138	28.59105480079377	35.87987355110643	33.95105389729806	32.07188963422352	34.008941877794335	35.94735398958048	27.70831249374812	45.53710430721328	29.895052473763116	35.849300880372866	38.572783309625414	33.25435936315391	31.601968288682343	34.812580784144764	33.79590692458649	38.341593134292275	30.47016274864376	24.546441308730035	31.569892473118276	27.49249749916639	29.94303181881339	100	~	~	~	~	~	~
GCA_025150245.1.faa	46.915915042187954	39.061388954728606	34.37173686042465	33.86396526772793	47.58109619686801	34.530642473616	29.91416912902772	35.93777620646986	35.84070796460177	34.716298306837274	34.419928825622776	48.142326378965414	31.10704483074108	36.532897219776075	40.250855188141394	32.11369346733669	36.95955369595537	31.4125650260104	32.56983240223464	39.728980597474596	44.454473654518786	48.69379776079616	34.81304422059075	47.540983606557376	39.735548398033565	36.51490217590053	44.193548387096776	49.55737431100718	50.56459891479689	43.923240938166316	37.33097231165486	35.98429613011778	35.30033202535466	34.5025053686471	35.335742246311355	34.403045961381565	31.615628299894404	56.464549246069936	50.43359972793743	49.96695307336418	33.639271311361426	33.50738206697875	34.17179057201416	43.61106397420669	36.1879576891782	33.13164349959117	32.02025886325267	100	~	~	~	~	~
