POCP	GCF_900177615.1.faa	GCF_900167575.1.faa	GCF_900107435.1.faa	GCF_900104895.1.faa	GCF_021216655.1.faa	GCF_014640535.1.faa	GCF_014204935.1.faa	GCF_014200395.1.faa	GCF_014200375.1.faa	GCF_014197205.1.faa	GCF_014191305.1.faa	GCF_014190775.1.faa	GCF_014137945.1.faa	GCF_014137865.1.faa	GCF_013408685.1.faa	GCF_013283855.1.faa	GCF_011758565.1.faa	GCF_010686725.1.faa	GCF_010686705.1.faa	GCF_009930795.1.faa	GCF_009371975.2.faa	GCF_008040105.1.faa	GCF_007988805.1.faa	GCF_006788895.1.faa	GCF_006716815.1.faa	GCF_006716695.1.faa	GCF_006716125.1.faa	GCF_006716115.1.faa	GCF_006716085.1.faa	GCF_006715175.1.faa	GCF_004365915.1.faa	GCF_004364555.1.faa	GCF_004216665.1.faa	GCF_004216575.1.faa	GCF_004011095.1.faa	GCF_003752465.1.faa	GCF_003634555.1.faa	GCF_003627075.1.faa	GCF_003014675.1.faa	GCF_003003265.1.faa	GCF_002950575.1.faa	GCF_002797855.1.faa	GCF_002797715.1.faa	GCF_002355535.1.faa	GCF_000938265.1.faa	GCF_000718085.1.faa	GCF_000699505.1.faa	GCF_000425685.1.faa	GCF_000421825.1.faa	GCF_000421145.1.faa	GCA_003067705.1.faa
GCF_010686705.1.faa	48.78481012658228	48.85564697083022	51.145672563219755	54.89823609226594	46.898616854413234	48.3875	52.49898415278342	46.53669361229989	52.144469525959366	31.176035502958584	38.44634628044766	63.32265220606359	47.689236910793795	43.56681569796324	48.008788794287284	33.434823977164605	42.528897659994364	55.25574499629356	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009930795.1.faa	49.03577417551705	52.146103349604445	47.4671181143378	53.380621792936914	52.56021694050088	47.49173098125689	56.680222925139326	56.92722371967655	57.32869182850862	35.52744425385935	43.745438622098966	48.64314789687924	59.334373374935	50.2738432483475	50.48944631385744	40.41232542673465	44.15748031496063	57.92367938676887	51.32667617689015	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_009371975.2.faa	45.91836734693878	49.954120022022394	45.457075274801724	49.52722530159765	49.69707460619699	46.407451212300415	52.480884984545305	72.08752217622708	58.43737414418043	37.89549376797699	42.28652303821356	46.01628380343123	68.56168277430358	51.32209036019155	50.29771749917301	43.493406319980096	43.24001365653807	54.637865311308765	47.02362687941086	57.481815032906134	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_008040105.1.faa	50.601189722819896	49.371821717020644	53.9292497625831	53.73762040428707	49.35842600513259	50.95613048368954	57.434994582881906	51.50554675118859	54.73158149282605	31.39212423738214	41.28488678251712	53.13616759088109	53.74577832361068	46.771523178807946	51.7643828092819	35.54033485540335	43.678646934460886	62.333234509338865	57.45970341715022	59.67764940807303	51.618346372142966	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_007988805.1.faa	55.10061486864169	59.569096111765695	49.08191170725355	49.426501660126775	60.07337693412027	50.88202866593164	59.3613496008435	48.44564240790656	48.534261634298275	34.948542024013726	45.30725441541381	51.30257801899592	49.280637892182355	43.96600566572238	51.896604466197616	37.06495233872755	44.8503937007874	54.90751541409765	47.44650499286733	53.3833386530482	48.30273640457222	50.99129938667808	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006788895.1.faa	44.86431281003793	48.714311048058164	42.63250643893181	49.60468058191018	47.05882352941176	43.284440609721024	50.323496922834146	56.260687820634615	55.99301784328937	37.16185236130215	41.71629256375019	44.72269383135257	57.636729467715384	51.3518926497096	47.46632456703015	40.98360655737705	42.26190476190476	51.272153009299885	44.33512224209898	58.38363514419852	57.437865497076025	49.23237442241765	47.38430583501006	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006716815.1.faa	47.004542873367406	49.35666495110654	42.97608034888331	49.9846484494934	45.08689296735423	44.02295632698768	46.49915734640723	49.62406015037594	47.512158623269734	36.95079086115993	46.43122124944354	45.65996142187931	50.55683224323847	43.08315647308509	45.89169000933707	36.78108661059332	42.850272523244634	45.76328748514179	43.59234560742244	46.457588560286	49.487813493465204	44.62965647195246	45.547611309717254	47.21462747778537	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006716695.1.faa	45.0022411474675	49.415845198977735	42.30875831485588	49.40775596300503	45.09128487771271	42.79405270131017	46.42163212435233	46.15836926695414	48.048048048048045	40.728398000476076	42.04758922980589	44.17257854350659	46.89031285337354	48.075331125827816	44.87242798353909	40.14328063241106	59.31713945982674	45.305164319248824	42.691308996486946	46.07961399276236	46.243645264545286	43.280390959071475	46.35533344821644	45.26449736411561	45.73888596028817	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006716125.1.faa	50.15669303089091	53.827925628873494	47.563676633444075	56.603467833414356	51.41038871689027	47.53712689310395	57.503234152652006	54.52054794520548	60.74355386767939	39.32050368258494	43.683552220137585	50.0939985538684	56.22882950696274	50.247933884297524	51.63570606608582	42.184418145956606	47.97285835453774	55.87811034980166	50.00762776506483	58.45809671313027	56.15717240082723	55.521659548505184	53.312682842884186	54.92829914685061	48.464642919810494	50.07479431563201	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006716115.1.faa	51.328441295546554	53.1469576917327	55.951109528895216	48.65744507729862	52.31580447484681	58.220889555222385	54.24394206037634	45.81023285284334	46.567837576538835	32.07686622320768	43.87419397289117	51.355013550135496	48.043578333589075	43.96822770147278	50.823497117760084	33.71363377067883	42.37813468582699	53.83019706623203	49.04614591389533	50.95523239235814	46.289481754063175	52.68720195901534	53.37895637296835	44.74076281287247	42.987539843523614	42.28362082124866	48.528739137063575	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006716085.1.faa	41.80561203741358	41.3988964621876	37.0126582278481	46.51672265225646	39.429892141756554	38.50474789354019	39.66472303206997	40.16591773245766	41.539003345659445	41.96519959058342	41.02092760180995	41.73363193255171	39.88313856427379	40.77229876722262	39.60645065838141	33.64327979712595	46.613909602800184	37.142397942783674	37.5466740423178	39.956836750423925	40.46705587989992	37.900995575221245	39.29397256050562	40.19401778496362	44.10980392156863	46.11553784860558	43.76657824933687	38.28610919143055	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_006715175.1.faa	52.66129032258065	54.34538152610442	46.43978400100465	47.55426917510854	56.63055089272089	50.07957559681697	53.892821031344795	46.11044623012481	44.87983281086729	33.60953920776071	43.16748423265592	50.875359289260516	46.52238559392037	40.724144111848005	50.9674582233949	34.51511991657977	41.046126017485676	51.74224343675418	47.09350150808884	49.23664122137404	45.51006932981182	49.3899931459904	62.47328244274809	43.70998719590269	45.806150978564766	42.368983078692295	49.54881050041017	50.90435735818032	39.01934721606853	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004365915.1.faa	48.285981059090304	49.60203756765361	45.573566084788034	53.06444667719248	49.74281391830559	46.228774516256415	50.02865329512895	49.79681679647816	51.595102603897224	34.30569430569431	42.95050055617352	47.347944494877446	52.12765957446809	48.261178140525196	45.41357755487716	37.30420445177246	43.715438648931396	52.00252286345002	48.183920555026525	60.345088542454974	51.02207686017989	51.972252448313384	48.2367186317542	52.65662172878668	46.435719784449574	45.60546875	52.015604681404426	49.76206662134602	39.8506151142355	46.32128863735307	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004364555.1.faa	46.965148152982636	47.067949115730684	46.18768328445748	45.856121161127476	48.56805432536168	48.60198428037624	50.0	45.00823723228995	44.658728827771256	30.79899400270845	38.92060902664491	48.38095238095238	46.38189352884922	40.672413793103445	49.22618202470538	33.89154704944178	38.35156819839533	52.78204734091608	48.30339321357285	48.0578939595333	45.2142060837713	50.13304949441192	50.62767685718506	41.490183954243314	42.393752815738104	37.79327837666455	46.32678910702977	49.30176885224099	35.19736842105263	51.35364989369242	43.813273340832396	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004216665.1.faa	52.206941715782584	51.993769470404985	53.162539838195634	60.92892329345532	48.82928275044458	51.40271493212669	55.61955605507165	49.9669093315685	53.37712649486272	33.85183744895975	44.29740791268759	56.54223467957702	52.592829705505764	46.085902320748175	51.23272053584152	35.7314629258517	45.40928393615463	51.80555555555556	57.11042862865536	52.779836916234245	50.77562769870462	54.05874499332444	48.70274277242402	48.06767033990377	48.95220865370119	46.832219038522766	52.925278219395864	49.539570265581204	41.0565604364054	46.03784322094181	51.45357042054756	47.37931034482759	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004216575.1.faa	46.815781298539925	52.613440551407244	44.73495187473064	51.337169939065674	52.0086470906143	45.71734475374733	53.67336598547543	71.36373014235609	57.08860759493671	40.26862645717182	43.632806130767975	47.4594107035478	73.3518115224708	51.8461874590343	51.890034364261176	45.61033482731347	44.56676136363637	55.55555555555556	47.107438016528924	57.858687815428986	70.41139240506328	51.48577784840299	50.829127613554434	56.91955775829203	50.84621044885945	47.984267453294	56.901629687806796	46.96632782719187	41.67100017334027	48.33676268861454	50.92545423671252	45.54766231620684	51.800232288037165	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_004011095.1.faa	50.449037776193876	54.844827586206904	47.240647386574686	48.12644564379337	55.10770234986945	49.262122276879836	52.954755309325954	48.34070796460177	48.59883392890728	36.61286756577493	43.69597615499255	47.15728316502974	49.2181947405828	44.35389988358556	48.42895107081445	38.53546910755149	43.3725237558383	51.39931740614334	46.33862279807832	51.689795918367345	48.641931475235225	47.467248908296945	54.987755102040815	46.95174308775545	46.53251288874106	45.814199929353585	50.317460317460316	50.341917648770554	39.1900409706902	51.69293181463567	47.943086916176924	47.375565610859724	50.16656571774683	49.842796375069355	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003752465.1.faa	45.72176949941793	49.08962347534029	42.041920216362406	49.13276568905708	47.903091060985794	45.352839931153184	49.77183320220299	47.58568452944518	50.753768844221106	36.43835616438356	45.073854119080245	45.24414338131527	49.77210574293528	44.5220514867292	47.48960665174288	38.7745445942749	42.911308935047806	47.03515829980759	43.51769253642581	48.02741558007355	48.52459016393443	44.180169466329716	47.525911066532935	45.228873239436616	46.252129471890974	43.884761732197866	49.81002352089741	43.99702823179792	41.383201676608095	43.83977018831791	45.31077020401708	42.639124402651454	51.32332456276119	49.58206686930091	46.22496147919877	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003634555.1.faa	49.005102040816325	49.93207547169811	47.602534975487266	44.92476060191519	49.79145692506832	48.186397984886646	52.615048477399974	42.982877260361654	43.30836860957343	30.740463724756918	40.06635700066357	50.26074000496648	43.2666976600031	40.05686569660478	49.501523123788424	32.56977863330125	40.16206994597668	52.04188481675393	49.19417728099818	46.56115107913669	42.50541963456179	50.305393112410655	58.70503597122302	40.809265944645006	40.450424100614214	40.434715585016185	46.26635873749038	50.50662509742791	35.364663226886066	57.36798451755598	43.14908791660952	50.033534540576795	44.01669134473011	44.19127086007702	46.58540167425466	40.89408940894089	100	~	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003627075.1.faa	50.868306801736615	52.87093942054434	49.9260056504776	54.952978056426325	49.7592561846256	49.657631954350926	56.9372751446895	54.99153976311336	57.88564850345357	36.69081032141241	41.86222558667676	51.79674340258282	56.32808256382401	47.55397108338285	55.68976478067387	40.84407971864009	46.215596330275226	56.750651607297996	50.11827321111768	52.624584717607966	55.662083936324166	54.92978566149298	50.06644518272425	51.41657922350472	50.23696682464455	47.867554435846685	58.38274932614556	47.90189125295508	43.070020829995194	46.890862944162436	47.744065398522245	46.727969348659	55.77781197107248	56.940777065258395	49.36213641775812	48.41352859135286	45.704057279236274	100	~	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003014675.1.faa	61.365725541694026	60.53125	52.37159007127058	53.309809456598444	56.67360285374554	53.882047958522364	57.80501549732319	48.190571049136786	48.52121007267196	35.72125707593207	48.01641586867305	53.953250734448844	50.561978163134235	43.83037886687522	52.794054594826356	35.372233400402415	47.04068145102071	52.352941176470594	50.18074708796358	51.6728624535316	48.74057436226536	51.45917001338688	56.56505576208178	46.660439047174215	48.72221382126115	46.215266687959115	51.738437001594896	52.79004415897231	42.51367693636625	54.13040376658582	49.08010189640532	49.21161825726141	54.192115491393665	51.140336274346595	52.566828675577156	49.309113491693836	49.75030368470779	52.89396511807377	100	~	~	~	~	~	~	~	~	~	~	~	~
GCF_003003265.1.faa	53.339567192091906	56.13139850103652	52.05393931826695	51.523864289821745	54.44764358236096	51.30503559187978	63.68202037595064	50.44953350296861	50.70836212854181	33.139767721265514	44.43670797939006	50.0	52.27086407607805	44.51555555555556	51.67443214909726	36.62466432555257	43.697604790419156	56.78407834465329	48.54223433242507	57.18617343844754	51.49082568807339	54.16155837079417	57.06488781079442	50.03177629488401	44.818013571869216	44.74156204141529	53.42778049177659	53.45860566448801	37.62652193046795	51.04651162790697	50.81447311517947	48.61287142655964	54.2756183745583	51.87138482477033	52.656855151045704	47.70278833967047	48.73626373626374	53.02362204724409	55.4925584691708	100	~	~	~	~	~	~	~	~	~	~	~
GCF_002950575.1.faa	34.930313588850176	41.50276243093923	33.68992495609133	39.55854126679463	39.3158870801566	35.650684931506845	39.40264215967835	51.55459146782357	46.19000494804552	40.91748768472907	32.93468261269549	34.195498824319785	49.620951068228806	48.517659190513015	37.68059351815697	50.79159935379644	37.04904742602351	44.66739367502726	35.62745799070433	43.58762886597938	50.41303350160624	39.15996425379804	39.25773195876289	45.294635004397534	38.15956099620093	41.18987918851151	44.86916951080774	36.066452304394424	34.29303884835338	36.15114920140242	39.66480446927375	35.35014005602241	37.4179020454119	52.05711519845111	39.010405606285836	39.68462549277267	33.91760028912179	43.04952215464814	37.21981540779808	38.47490347490348	100	~	~	~	~	~	~	~	~	~	~
GCF_002797855.1.faa	53.23056300268097	57.27782225780624	57.08380308154829	56.58008658008657	50.737867031796746	53.835978835978835	56.27250468097365	50.17890611688532	52.13467545990975	34.98389694041868	44.640111809923134	56.86734427938494	50.60102091223448	46.18681907483479	52.353113124817305	37.09241952232606	47.5653742110009	53.402061855670105	53.459119496855344	51.81126331811263	50.55939453767687	53.8755980861244	51.68949771689497	48.32482450542438	46.841127283988854	48.04322908138202	54.16189697465249	53.6895326591965	41.23104108378737	49.241318937846515	49.13905368253509	47.73144876325088	56.8733153638814	50.546821599453175	50.972157411728105	45.59338211899459	47.91838985387373	55.787476280834916	54.80153649167734	55.2463768115942	39.25106713232441	100	~	~	~	~	~	~	~	~	~
GCF_002797715.1.faa	53.98387317206505	54.52310717797444	50.11479591836735	54.11816708413143	54.05909797822706	50.46514763381421	61.044117647058826	52.77680754453371	54.40469834490123	34.07253886010363	42.855105533371365	54.3752489709202	55.00843170320405	44.611436950146626	56.69502910882221	37.62842465753425	45.21578866533559	55.11197663096398	52.40552224236508	54.80006223743582	54.08593091828138	55.32626882320134	54.59779057102847	49.06122448979592	45.11480601741884	44.735077129443326	56.496985934360346	48.83623693379791	39.19975932611312	51.76575771122038	46.45390070921986	50.201961915753024	57.862728062554304	55.61394289717989	50.779510022271715	50.64300830213251	50.06328223878498	58.0326807959877	57.46442056346209	56.75595678555572	39.97206146477749	56.96033278859011	100	~	~	~	~	~	~	~	~
GCF_002355535.1.faa	38.854185257897555	45.62443026435734	36.14103819784525	43.42598068204219	43.02374893977947	37.699456426442225	41.60440424695242	53.51445663010968	51.54929577464789	45.64448730311797	37.24046810117025	38.696922812446275	51.04364326375711	67.5040085515767	41.785356068204614	56.99797160243407	41.60933917031478	47.61690647482014	40.22356606193879	47.67663908338638	50.46197583511016	42.10333455478197	42.350944196902184	49.217864429834506	42.36035644425125	46.3764705882353	49.03710662282762	38.454495513642186	37.45439805431698	39.083450070042026	44.16303917688959	38.02223073974703	42.83513097072419	52.94117647058824	43.59142607174103	43.824791149243616	37.76171947378173	46.989030669353035	41.08662026295437	41.919492365655366	52.89657264179557	43.71138130356787	43.12679524004924	100	~	~	~	~	~	~	~
GCF_000938265.1.faa	55.902464198167976	55.278457772337816	58.99202320522118	52.80432073120066	54.92424242424242	56.24761176920138	57.50622062482721	47.4025974025974	47.95968941020982	33.124168092793305	45.111469245232335	52.931575643440056	48.91577624135764	44.159592529711375	51.67531193046404	34.25381903642773	45.58675305975522	54.33596118859915	50.15121630506246	52.178982655589564	49.002983199874386	53.76018932421772	54.72963124908905	46.805915535904866	46.4365091124611	45.65489215379806	51.17077739619107	58.259955316073075	39.73453826602655	52.428271518544435	49.25020827547903	48.4251968503937	51.64850136239782	49.03141787400293	53.214285714285715	45.157366580507826	50.29821073558648	51.38321995464853	56.98087431693989	55.66680572938395	37.11662075298439	55.35240753663643	52.64881800056964	40.50489826676714	100	~	~	~	~	~	~
GCF_000718085.1.faa	49.58263772954925	51.88347564038172	43.67786279341201	49.41423851006308	46.691001428344705	43.04335894621295	46.6796582221556	42.80864748972664	43.98907103825137	36.73339011925042	41.261078018305966	48.10861929208322	43.47526288570936	42.27520180214004	46.16438356164384	35.76931543033238	48.91883422124726	44.52179678435272	43.28315819369497	43.52175293744045	43.19669307612814	43.0640352122675	47.459510955859	42.74516344229487	44.29356611703847	46.68380462724936	48.39979462604826	42.57734885041158	43.104770670348216	46.718322698268004	43.16915198071999	40.57033661619874	45.16747823520732	44.13978494623656	46.14260191651778	41.32025274359827	43.69808077914637	46.87706543291474	48.853041290513545	44.56849728424864	37.095452683326506	47.985458951832776	46.32296021055891	40.716543730242364	47.29435659364572	100	~	~	~	~	~
GCF_000699505.1.faa	33.67328017800853	41.694590713259934	32.082488167680864	38.49475632325725	39.19218819351975	33.569998179501184	37.48974569319114	47.89584429247764	46.522327469553446	43.84694932781799	33.64779874213836	33.74353486713037	45.257114328507235	53.45413363533409	38.19895287958115	72.30713245997089	37.95509047307608	43.015573383671544	35.16295025728988	42.14967799244948	45.25056095736724	37.91920731707317	39.08505440817233	43.156391335396336	37.98679116374402	41.757425742574256	44.19466403162055	35.47895638925919	34.16596104995766	36.369333611865464	39.30635838150289	34.46485623003195	37.17382577278202	46.97490092470277	39.93580926180651	38.611045271391326	34.35511856564488	41.1087620389946	36.2353889560661	37.2232567763294	51.1175898931001	38.38152693987934	38.93653516295026	60.84745762711864	35.778736759513535	37.66262403528115	100	~	~	~	~
GCF_000425685.1.faa	37.6999026560979	39.558232931726906	35.62354161265232	40.324275634289144	38.35659898477157	36.250171444246334	37.249026071321545	38.98214285714286	41.03404332787184	34.709512662268565	46.456578565204765	38.176907494935854	39.62784286698828	40.93808630393996	37.836604290278416	34.09590849098108	37.008613938919346	37.70709078860172	35.18807665010646	40.660212664656406	40.299535203993806	37.36871984104456	37.454372321853675	38.68978163027171	41.81612538374536	40.476190476190474	43.037974683544306	36.06185274507022	41.32168046611469	36.18830675778284	40.27401385124962	33.97002644725242	39.02654867256637	40.06806376500089	37.5974025974026	39.405019112514545	34.07301360057266	39.752270850536746	38.994082840236686	37.1437188960941	33.694984646878204	39.81831945495837	37.31043020736614	37.952822240943554	37.38399071925754	37.12300647402495	35.32393124724548	100	~	~	~
